"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"993" "St.Fs.55.06_28_2018" 985 993 40.6700322489697 "c6.l67"
"995" "St.Fs.55.06_28_2018" 985 995 38.1803016475978 "c3.l68"
"999" "St.Fs.55.06_28_2018" 985 999 43.7486845282921 "c4.l68"
"941" "St.Fs.55.06_28_2018" 978 941 64.1667170529388 "c8.l64"
"956" "St.Fs.55.06_28_2018" 978 956 42.9661769250666 "c7.l64"
"973" "St.Fs.55.06_28_2018" 978 973 38.3198738815298 "c6.l66"
"981" "St.Fs.55.06_28_2018" 978 981 39.1842719111854 "c6.l66"
"9921" "St.Fs.55.06_28_2018" 978 992 41.0281947856914 "c8.l67"
"9941" "St.Fs.55.06_28_2018" 978 994 43.4580849414112 "c7.l67"
"915" "St.Fs.55.06_28_2018" 937 915 41.0496413200066 "c7.l62"
"916" "St.Fs.55.06_28_2018" 937 916 40.0541374526311 "c7.l62"
"917" "St.Fs.55.06_28_2018" 937 917 44.6168453060289 "c6.l62"
"921" "St.Fs.55.06_28_2018" 937 921 41.2135751252294 "c8.l62"
"931" "St.Fs.55.06_28_2018" 937 931 37.5240233993607 "c8.l63"
"932" "St.Fs.55.06_28_2018" 937 932 40.9986748198244 "c5.l63"
"9411" "St.Fs.55.06_28_2018" 937 941 42.1903651443901 "c8.l64"
"946" "St.Fs.55.06_28_2018" 937 946 37.5199181029006 "c5.l64"
"951" "St.Fs.55.06_28_2018" 937 951 36.6886073587785 "c6.l64"
"9561" "St.Fs.55.06_28_2018" 937 956 35.7866114419863 "c7.l64"
"958" "St.Fs.55.06_28_2018" 937 958 39.2043681687962 "c6.l65"
"887" "St.Fs.55.06_28_2018" 912 887 43.7289032978455 "c3.l61"
"888" "St.Fs.55.06_28_2018" 912 888 41.3264729472563 "c3.l61"
"889" "St.Fs.55.06_28_2018" 912 889 40.7759705475294 "c2.l61"
"899" "St.Fs.55.06_28_2018" 912 899 49.403722882437 "c5.l61"
"905" "St.Fs.55.06_28_2018" 912 905 30.5677200031459 "c1.l62"
"908" "St.Fs.55.06_28_2018" 912 908 42.9333278437967 "c5.l62"
"913" "St.Fs.55.06_28_2018" 912 913 27.5769992316556 "c2.l62"
"918" "St.Fs.55.06_28_2018" 912 918 37.9986832804003 "c4.l62"
"922" "St.Fs.55.06_28_2018" 912 922 33.4149633879561 "c1.l63"
"927" "St.Fs.55.06_28_2018" 912 927 38.1558507876328 "c2.l63"
"929" "St.Fs.55.06_28_2018" 912 929 41.3095376937168 "c4.l63"
"930" "St.Fs.55.06_28_2018" 912 930 36.5575534306268 "c2.l63"
