"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "cell" "nbcell"
"21" "c1.l28" 28 1 "Lz.Fa.73.06_19_18" 642 541 1083.055 1121.669 53.2247423796923 510.116110178849 1091.41021821248 1088.31079881276 46.2247423796923 517.116110178849 470.901567918791 471.219116178196 471.181725864619 46.2247423796923 46.2247423796923 46.2247423796923 1083.055 1121.669 1091.41021821248 69.2673571608061 69.2655287744722 69.2664429676391 1086.059 1124.778 1105.4185 1 0 NA 1 2
"22" "c1.l29" 29 1 "Lz.Fa.73.06_19_18" 683 596 1121.669 1160.282 54.9346789619622 498.893952693972 1139.94786666667 1139.94786666667 47.9346789619622 505.893952693972 457.95927373201 471.181725864619 479.264977503203 46.2247423796923 36.0714178313183 36.0714178313183 1121.669 1160.282 1139.94786666667 69.2655287744722 59.5074752312249 64.3865020028485 1124.778 1163.498 1144.138 1 0 NA 1 1
"23" "c1.l3" 3 1 "Lz.Fa.73.06_19_18" 60 12 117.717 156.33 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 149.359079990701 136.747243572235 136.747243572235 117.717 156.33 137.0235 173.8367648731 161.803880129927 167.820322501514 118.075 156.794 137.4345 1 0 NA 1 2
"24" "c1.l30" 30 1 "Lz.Fa.73.06_19_18" 725 638 1160.282 1198.896 43.0714178313183 508.085523715629 1173.49070425187 1173.49070425187 36.0714178313183 515.085523715629 479.014105884311 479.264977503203 479.232640245993 36.0714178313183 36.0714178313183 36.0714178313183 1160.282 1198.896 1173.49070425187 59.5074752312249 59.5058939393474 59.5066845852862 1163.498 1202.217 1182.8575 1 0 NA 1 1
"25" "c1.l31" 31 1 "Lz.Fa.73.06_19_18" 725 638 1198.896 1237.509 43.0714178313183 508.085523715629 1218.00933333333 1218.00933333333 36.0714178313183 515.085523715629 479.014105884311 479.232640245993 496.510270283101 36.0714178313183 18.7571087245086 18.7571087245086 1198.896 1237.509 1218.00933333333 59.5058939393474 43.0364609413522 51.2711774403498 1202.217 1240.936 1221.5765 1 0 NA 1 2
"26" "c1.l32" 32 1 "Lz.Fa.73.06_19_18" 784 638 1237.509 1276.123 25.7571087245086 508.085523715629 1253.75397818306 1253.75397818306 18.7571087245086 515.085523715629 496.32841499112 496.510270283101 504.603214937335 18.7571087245086 10.6347628716255 10.6347628716255 1237.509 1276.123 1253.75397818306 43.0364609413522 35.3098600820612 39.1731605117067 1240.936 1279.656 1260.296 1 0 NA 1 3
"27" "c1.l33" 33 1 "Lz.Fa.73.06_19_18" 841 720 1276.123 1314.736 17.6347628716255 493.763750714892 1311.03950125692 1286.77895475965 10.6347628716255 500.763750714892 490.729048295096 504.603214937335 495.389445053979 10.6347628716255 5.5047570086809 5.5047570086809 1276.123 1314.736 1311.03950125692 35.3098600820612 29.7293008718204 32.5195804769408 1279.656 1318.375 1299.0155 1 0 NA 1 3
"28" "c1.l34" 34 1 "Lz.Fa.73.06_19_18" 874 756 1314.736 1353.35 12.5047570086809 471.748341732685 1339.46849620655 1311.03950125692 5.5047570086809 478.748341732685 474.096718229806 495.389445053979 473.570530276509 5.5047570086809 5.2905981891101 5.2905981891101 1314.736 1353.35 1339.46849620655 29.7293008718204 28.4481971196314 29.0887489957259 1318.375 1357.095 1337.735 1 0 NA 1 4
"29" "c1.l35" 35 1 "Lz.Fa.73.06_19_18" 921 790 1353.35 1391.963 12.2905981891101 469.610087511274 1374.13226666667 1374.13226666667 5.2905981891101 476.610087511274 471.319489322164 473.570530276509 480.921247568046 5.2905981891101 0.26767173595087 0.26767173595087 1353.35 1391.963 1374.13226666667 28.4481971196314 23.7847207420283 26.1164589308298 1357.095 1395.814 1376.4545 1 0 NA 1 1
"30" "c1.l36" 36 1 "Lz.Fa.73.06_19_18" 963 838 1391.963 1430.577 7.26767173595087 474.098989728452 1421.22813624885 1421.22813624885 0.26767173595087 481.098989728452 480.831317992501 480.921247568046 482.077139153975 0.26767173595087 -0.90726002966201 -0.90726002966201 1391.963 1430.577 1421.22813624885 23.7847207420283 22.6663120749674 23.2255164084979 1395.814 1434.533 1415.1735 1 0 NA 1 3
