"idD" "minLay" "idSectorMin" "idVessel" "cFile" "layer" "idSectorV" "nbNeigh" "type" "PolySide" "nbcell" "CellS" "CellI" "CellE" "LSide" "nbCellp" "cumulCBef" "vessel.index" "id" "DOY" "RRF_avg" "cumulCellLay" "vessel.Relindex"
"44" "St.Fs.55.06_28_2018" 60 "c1.l60" 891 "1" "61" "c1.l61" 6 "Vessel" "LeftEdge" 1 0 0 1 "Edge" 1 152 154 "Fs.55" 179 263 263 58.5551330798479
"45" "St.Fs.55.06_28_2018" 61 "c3.l61" 912 "3" "62" "c3.l62" 13 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 155 158 "Fs.55" 179 263 263 60.0760456273764
"46" "St.Fs.55.06_28_2018" 62 "c7.l62" 937 "7" "63" "c7.l63" 11 "Vessel" "LeftSup" 3 0 1 1 "Sup" 2 158 161 "Fs.55" 179 263 263 61.2167300380228
"47" "St.Fs.55.06_28_2018" 64 "c7.l64" 978 "7" "66" "c7.l66" 6 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 163 165 "Fs.55" 179 263 263 62.7376425855513
"48" "St.Fs.55.06_28_2018" 65 "c4.l65" 985 "4" "67" "c4.l67" 11 "Vessel" "RightInf" 2 0 1 1 "Inf" 2 165 168 "Fs.55" 179 263 263 63.8783269961977
"49" "St.Fs.55.06_28_2018" 67 "c2.l67" 1004 "2" "69" "c2.l69" 8 "Vessel" "LeftInf" 3 0 1 1 "Inf" 2 172 175 "Fs.55" 179 263 263 66.5399239543726
"50" "St.Fs.55.06_28_2018" 67 "c7.l67" 1001 "7" "68" "c7.l68" 8 "Vessel" "RightEdge" 1 0 0 1 "Edge" 1 172 174 "Fs.55" 179 263 263 66.1596958174905
"51" "St.Fs.55.06_28_2018" 73 "c2.l73" 1129 "2" "74" "c2.l74" 14 "Vessel" "RightSup" 3 0 1 1 "Sup" 2 190 193 "Fs.55" 179 263 263 73.3840304182509
"52" "St.Fs.55.06_28_2018" 74 "c6.l74" 1134 "6" "74" "c6.l74" 8 "Vessel" "RightSup" 0 0 0 0 "Sup" 0 193 194 "Fs.55" 179 263 263 73.7642585551331
"53" "St.Fs.55.06_28_2018" 75 "c5.l75" 1142 "5" "76" "c5.l76" 10 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 196 197 "Fs.55" 179 263 263 74.9049429657795
"54" "St.Fs.55.06_28_2018" 76 "c7.l76" 1172 "7" "77" "c7.l77" 11 "Vessel" "LeftSup" 2 0 1 0 "Sup" 1 199 201 "Fs.55" 179 263 263 76.425855513308
"55" "St.Fs.55.06_28_2018" 81 "c2.l81" 1247 "2" "82" "c2.l82" 8 "Vessel" "LeftInf" 2 0 1 0 "Inf" 1 212 214 "Fs.55" 179 263 263 81.3688212927757
"56" "St.Fs.55.06_28_2018" 81 "c8.l81" 1252 "8" "81" "c8.l81" 6 "Vessel" "LeftSup" 1 0 1 0 "Sup" 1 212 214 "Fs.55" 179 263 263 81.3688212927757
"57" "St.Fs.55.06_28_2018" 81 "c6.l81" 1258 "6" "82" "c6.l82" 8 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 212 215 "Fs.55" 179 263 263 81.7490494296578
"58" "St.Fs.55.06_28_2018" 83 "c3.l83" 1278 "3" "83" "c3.l83" 9 "Vessel" "RightSup" 0 0 0 0 "Sup" 0 217 218 "Fs.55" 179 263 263 82.8897338403042
"59" "St.Fs.55.06_28_2018" 84 "c3.l84" 1298 "3" "85" "c3.l85" 9 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 220 221 "Fs.55" 179 263 263 84.0304182509506
"60" "St.Fs.55.06_28_2018" 86 "c5.l86" 1358 "5" "88" "c5.l88" 10 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 225 227 "Fs.55" 179 263 263 86.3117870722433
"61" "St.Fs.55.06_28_2018" 86 "c7.l86" 1359 "7" "88" "c7.l88" 9 "Vessel" "LeftInf" 3 0 1 1 "Inf" 2 225 228 "Fs.55" 179 263 263 86.6920152091255
"62" "St.Fs.55.06_28_2018" 91 "c1.l91" 1455 "1" "92" "c1.l92" 8 "Vessel" "RightEdge" 1 0 1 0 "Edge" 1 241 243 "Fs.55" 179 263 263 92.3954372623574
"63" "St.Fs.55.06_28_2018" 92 "c6.l92" 1474 "6" "92" "c6.l92" 9 "Vessel" "LeftSup" 0 0 0 0 "Sup" 0 244 245 "Fs.55" 179 263 263 93.1558935361217
"64" "St.Fs.55.06_28_2018" 94 "c7.l94" 1513 "7" "94" "c7.l94" 9 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 251 252 "Fs.55" 179 263 263 95.8174904942966
"65" "St.Fs.55.06_28_2018" 94 "c3.l94" 1516 "3" "94" "c3.l94" 10 "Vessel" "LeftSup" 1 0 1 0 "Sup" 1 251 253 "Fs.55" 179 263 263 96.1977186311787
"66" "St.Fs.55.06_28_2018" 95 "c1.l95" 1544 "1" "95" "c1.l95" 7 "Vessel" "RightSup" 2 0 1 0 "Sup" 1 254 256 "Fs.55" 179 263 263 97.3384030418251
"67" "St.Fs.55.06_28_2018" 95 "c2.l95" 1540 "2" "95" "c2.l95" 5 "Vessel" "LeftSup" 3 1 0 1 "Sup" 1 254 256 "Fs.55" 179 263 263 97.3384030418251
