"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"468" "c7.l2" 2 7 "Lz.Fa.73.06_19_18" 43 7 74.477 113.311 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 306.643814816386 299.278642818485 302.961228817435 75.0075 113.311 94.15925 358.531288040055 352.889277806317 355.710282923186 73.996 112.386 93.191 0 1 36 0 NA 3 1 3
"479" "c7.l3" 3 7 "Lz.Fa.73.06_19_18" 60 12 113.311 152.145 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 299.278642818485 290.212737417403 294.745690117944 113.311 152.145 132.728 352.889277806317 345.091383129648 348.990330467982 112.386 151.258 131.822 0 1 36 0 NA 3 0 3
"489" "c7.l4" 4 7 "Lz.Fa.73.06_19_18" 68 27 152.145 190.979 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 290.212737417403 289.645191137679 289.928964277541 152.145 190.979 171.562 345.091383129648 344.320884574271 344.706133851959 151.258 190.129 170.6935 0 1 36 0 NA 3 -1 3
"490" "c7.l5" 5 7 "Lz.Fa.73.06_19_18" 75 38 190.979 229.813 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 289.645191137679 287.821357757068 288.733274447374 190.979 229.813 210.396 344.320884574271 342.762020325075 343.541452449673 190.129 229.001 209.565 0 1 36 0 NA 3 -2 3
"491" "c7.l6" 6 7 "Lz.Fa.73.06_19_18" 97 52 229.813 268.647 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 287.821357757068 293.925619756022 290.873488756545 229.813 268.647 249.23 342.762020325075 351.049141957044 346.90558114106 229.001 267.872 248.4365 1 1 36 1 NA 3 -3 3
"495" "c8.l1" 1 8 "Lz.Fa.73.06_19_18" NA 1 34.643 73.515 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 369.566007753024 358.531288040055 364.04864789654 29.643 73.996 54.079 416.059717764704 406.155364771024 411.107541267864 28.643 73.0055 53.0695 0 1 36 0 NA 2 2 2
"506" "c8.l2" 2 8 "Lz.Fa.73.06_19_18" 43 7 73.515 112.386 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 358.531288040055 352.889277806317 355.710282923186 73.996 112.386 93.191 406.155364771024 402.094930647623 404.125147709323 73.0055 111.349 92.17725 0 1 36 0 NA 2 1 2
"517" "c8.l3" 3 8 "Lz.Fa.73.06_19_18" 60 12 112.386 151.258 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 352.889277806317 345.091383129648 348.990330467982 112.386 151.258 131.822 402.094930647623 395.46085907282 398.777894860221 111.349 150.202 130.7755 0 1 36 0 NA 2 0 2
"527" "c8.l4" 4 8 "Lz.Fa.73.06_19_18" 68 27 151.258 190.129 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 345.091383129648 344.320884574271 344.706133851959 151.258 190.129 170.6935 395.46085907282 394.504084059022 394.982471565921 150.202 189.055 169.6285 0 1 36 0 NA 2 -1 2
"528" "c8.l5" 5 8 "Lz.Fa.73.06_19_18" 75 38 190.129 229.001 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 344.320884574271 342.762020325075 343.541452449673 190.129 229.001 209.565 394.504084059022 393.188417434647 393.846250746835 189.055 227.907 208.481 0 1 36 0 NA 2 -2 2
