"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"440" "c5.l6" 6 5 "St.Fs.55.06_28_2018" NA 107 144.117 174.14 58.2173757251554 242.23314420278 195.220351727425 195.220351727425 51.2173757251554 249.23314420278 198.015768477625 201.729679896591 200.819980525369 150.458159618983 149.850237728971 150.154198673977 144.117 174.14 159.1285 169.772678153697 169.078352402419 169.425515278058 149.535 179.515 164.525 1 1 102 2 NA 1 1 1
"451" "c5.l7" 7 5 "St.Fs.55.06_28_2018" 104 118 174.14 204.164 58.0534093449886 243.573183686304 192.719828639427 217.872917303593 51.0534093449886 250.573183686304 201.099025911507 200.819980525369 203.111920687946 149.850237728971 151.022077723471 150.436157726221 174.14 204.164 189.152 169.078352402419 170.478259169524 169.778305785972 179.515 209.496 194.5055 1 1 102 1 NA 1 0 1
"536" "c6.l6" 6 6 "St.Fs.55.06_28_2018" NA 107 149.535 179.515 58.2173757251554 242.23314420278 195.220351727425 195.220351727425 51.2173757251554 249.23314420278 198.015768477625 201.729679896591 200.819980525369 169.772678153697 169.078352402419 169.425515278058 149.535 179.515 164.525 196.952387225742 196.136472535673 196.544429880707 159.434 189.325 174.3795 0 1 102 0 NA 0 1 1
"547" "c6.l7" 7 6 "St.Fs.55.06_28_2018" 104 118 179.515 209.496 58.0534093449886 243.573183686304 192.719828639427 217.872917303593 51.0534093449886 250.573183686304 201.099025911507 200.819980525369 203.111920687946 169.078352402419 170.478259169524 169.778305785972 179.515 209.496 194.5055 196.136472535673 197.857318627114 196.996895581393 189.325 219.216 204.2705 0 1 102 0 1 0 0 0
"558" "c6.l8" 8 6 "St.Fs.55.06_28_2018" 117 126 209.496 239.476 60.1480082803739 245.894992187936 219.896015003593 235.629377938577 53.1480082803739 252.894992187936 200.365656461909 203.111920687946 202.596663659258 170.478259169524 170.68892847995 170.583593824737 209.496 239.476 224.486 197.857318627114 198.000889794637 197.929104210876 219.216 249.106 234.161 1 1 102 2 NA 0 -1 1
"632" "c7.l6" 6 7 "St.Fs.55.06_28_2018" NA 107 159.434 189.325 58.2173757251554 242.23314420278 195.220351727425 195.220351727425 51.2173757251554 249.23314420278 198.015768477625 201.729679896591 200.819980525369 196.952387225742 196.136472535673 196.544429880707 159.434 189.325 174.3795 225.884341278257 224.938998948579 225.411670113418 170.857 200.654 185.7555 1 1 102 1 NA -1 1 1
"643" "c7.l7" 7 7 "St.Fs.55.06_28_2018" 104 118 189.325 219.216 58.0534093449886 243.573183686304 192.719828639427 217.872917303593 51.0534093449886 250.573183686304 201.099025911507 200.819980525369 203.111920687946 196.136472535673 197.857318627114 196.996895581393 189.325 219.216 204.2705 224.938998948579 227.001474958161 225.97023695337 200.654 230.451 215.5525 1 1 102 1 NA -1 0 1
"174" "c2.l8" 8 2 "St.Fs.55.06_28_2018" 117 126 207.905 237.856 60.1480082803739 245.894992187936 219.896015003593 235.629377938577 53.1480082803739 252.894992187936 200.365656461909 203.111920687946 202.596663659258 79.2949593202903 79.7290924824665 79.5120259013784 207.905 237.856 222.8805 105.189732770656 105.560405344928 105.375069057792 208.725 238.675 223.7 1 1 123 1 NA 1 0 1
"185" "c2.l9" 9 2 "St.Fs.55.06_28_2018" 138 159 237.856 267.806 58.55675436446 240.644062921204 258.629830655748 258.629830655748 51.55675436446 247.644062921204 196.087308556744 202.596663659258 204.223070964728 79.7290924824665 78.8407489574819 79.2849207199742 237.856 267.806 252.831 105.560405344928 104.888418951534 105.224412148231 238.675 268.625 253.65 1 1 123 1 NA 1 -1 1
"194" "c3.l10" 10 3 "St.Fs.55.06_28_2018" 152 169 268.625 298.575 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 104.888418951534 104.845928101937 104.867173526735 268.625 298.575 283.6 129.402686219368 129.369757381404 129.386221800386 264.938 294.932 279.935 1 1 123 2 NA 0 -2 2
"259" "c3.l7" 7 3 "St.Fs.55.06_28_2018" 104 118 178.775 208.725 58.0534093449886 243.573183686304 192.719828639427 217.872917303593 51.0534093449886 250.573183686304 201.099025911507 200.819980525369 203.111920687946 104.555142853891 105.189732770656 104.872437812273 178.775 208.725 193.75 128.639843192282 129.560104375763 129.099973784022 174.959 204.952 189.9555 1 1 123 2 NA 0 1 1
"270" "c3.l8" 8 3 "St.Fs.55.06_28_2018" 117 126 208.725 238.675 60.1480082803739 245.894992187936 219.896015003593 235.629377938577 53.1480082803739 252.894992187936 200.365656461909 203.111920687946 202.596663659258 105.189732770656 105.560405344928 105.375069057792 208.725 238.675 223.7 129.560104375763 129.87105222943 129.715578302596 204.952 234.945 219.9485 0 1 123 0 1 0 0 0
"281" "c3.l9" 9 3 "St.Fs.55.06_28_2018" 138 159 238.675 268.625 58.55675436446 240.644062921204 258.629830655748 258.629830655748 51.55675436446 247.644062921204 196.087308556744 202.596663659258 204.223070964728 105.560405344928 104.888418951534 105.224412148231 238.675 268.625 253.65 129.87105222943 129.402686219368 129.636869224399 234.945 264.938 249.9415 0 1 123 0 NA 0 -1 1
"366" "c4.l8" 8 4 "St.Fs.55.06_28_2018" 117 126 204.952 234.945 60.1480082803739 245.894992187936 219.896015003593 235.629377938577 53.1480082803739 252.894992187936 200.365656461909 203.111920687946 202.596663659258 129.560104375763 129.87105222943 129.715578302596 204.952 234.945 219.9485 151.022077723471 151.280428498085 151.151253110778 204.164 234.187 219.1755 0 1 123 0 NA -1 0 1
"377" "c4.l9" 9 4 "St.Fs.55.06_28_2018" 138 159 234.945 264.938 58.55675436446 240.644062921204 258.629830655748 258.629830655748 51.55675436446 247.644062921204 196.087308556744 202.596663659258 204.223070964728 129.87105222943 129.402686219368 129.636869224399 234.945 264.938 249.9415 151.280428498085 150.99138249639 151.135905497238 234.187 264.211 249.199 0 1 123 0 NA -1 -1 1
"462" "c5.l8" 8 5 "St.Fs.55.06_28_2018" 117 126 204.164 234.187 60.1480082803739 245.894992187936 219.896015003593 235.629377938577 53.1480082803739 252.894992187936 200.365656461909 203.111920687946 202.596663659258 151.022077723471 151.280428498085 151.151253110778 204.164 234.187 219.1755 170.478259169524 170.68892847995 170.583593824737 209.496 239.476 224.486 1 1 123 1 NA -2 0 2
"473" "c5.l9" 9 5 "St.Fs.55.06_28_2018" 138 159 234.187 264.211 58.55675436446 240.644062921204 258.629830655748 258.629830655748 51.55675436446 247.644062921204 196.087308556744 202.596663659258 204.223070964728 151.280428498085 150.99138249639 151.135905497238 234.187 264.211 249.199 170.68892847995 170.562443607336 170.625686043643 239.476 269.457 254.4665 1 1 123 2 NA -2 -1 2
